id_reclamacao;id_cliente;tipo_cliente;id_produto;nome_produto;descricao_produto;categoria_produto;preco;vendedor;tipo_vendedor;avaliacao_produto;data_compra;data_abertura;texto_reclamacao;categoria_informada_cliente;tags_sistema;classe
R00063;C0085;padrao;P012;Mouse gamer Vortex 12000 dpi;Mouse com sensor óptico de 12000 dpi e 7 botões;game;175,99;Comercial Andrade;vendedor;2,9;2026-07-03;2026-07-15;recebi a caixa do mouse gamer vortex 12000 dpi e tinha um tijolo dentro, nao acredietei quando abri. a comercial andrade ta aplicando golpe nos clientes, cuidado pessoal. denunciem esse vendedor pra plataforma urgente O blog de vocês fala de compra segura mas não diz o que acontece com o pagamento nesses casos.;fraude_vendedor;urgente|frete|atendimento;fraude_vendedor
R00155;C0082;padrao;P018;HQ Guardiões da Aurora volume 3;História em quadrinhos, edição colorida de 96 páginas;livro;47,83;Importados do Sul;vendedor;4,1;2026-02-13;2026-03-03;Bom dia. Realizei a solicitação de reembolso referente à compra do HQ dos Guardiões e, em resposta, foi oferecido um cupom da plataforma como alternativa. Não tenho interesse nessa opção. O pagamento de R$ 47,83 foi efetuado via cartão e solicito que o estorno seja realizado diretamente nessa forma de pagamento.;devolucao_ressarcimento;pagamento|ajuda|compra|pedido;devolucao_ressarcimento
R00015;C0033;padrao;P033;Suporte veicular para celular;Suporte de painel com trava automática;outros;33,63;Bazar da Serra;vendedor;4,2;2026-01-23;2026-02-10;Realizei a compra do Suporte veicular para celular pelo vendedor Bazar da Serra, porém o produto foi encaminhado para uma cidade diferente da minha devido a um endereço incorreto na etiqueta, sendo que meus dados cadastrais estão devidamente corretos. Até o momento, nem o vendedor nem o marketplace assumiram a responsabilidade pela resolução do problema. Procurei a política de entregas no site e não achei o prazo que vale para a minha cidade.;entrega;compra|anuncio|pedido;entrega
R00017;C0037;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;85,24;Loja do Edu;vendedor;3,2;2026-04-14;2026-05-07;Realizei a compra do Manual de fotografia digital em 14/04 na Edu, porém o pedido não foi entregue dentro do prazo estabelecido. Tentei contato com o vendedor para obter informações, mas não obtive nenhuma resposta.;fraude_vendedor;pagamento|pedido|problema|ajuda;entrega
R00171;C0073;padrao;P030;Luminária de mesa articulada;Luminária LED com braço articulado e três tons de luz;outros;69,56;Casa & Cia Oficial;loja_oficial;2,9;2026-05-24;2026-06-14;Boa noite. Comprei a luminária há 21 dias e ela não atendeu às minhas necessidades. Preciso saber como proceder para que o item seja retirado e o dinheiro pago seja reembolsado. Aguardo orientações. Li a política de devolução no site mas não entendi qual prazo vale para o meu caso.;devolucao_ressarcimento;pedido|atendimento|problema;devolucao_ressarcimento
R00006;C0008;premium;P031;Mochila executiva impermeável;Mochila para notebook de até 15,6 polegadas, com saída USB;outros;174,31;Armazém 21;vendedor;4,0;2026-02-28;2026-03-10;"O representante responsável pelo envio confirmou verbalmente que o pacote com a mochila foi perdido, porém o sistema continua exibindo o status de ""em transporte"". Solicito um posicionamento oficial sobre o ocorrido. Fico no aguardo.";entrega;problema|cadastro|urgente;entrega
R00083;C0046;padrao;P019;Livro infantil O Sapo Azul;Livro ilustrado para primeiros leitores, 48 páginas;livro;34,73;Comercial Andrade;vendedor;3,5;2026-04-19;2026-05-18;recebi um tijolo no lugar do livro infantil o sapo azul, tô em choque... aí a Andrade manda um tijlro dentro da caixa e some com o meu dinheiro?? cuidado com esse vendedor, é golpe na certa, precisam bloquear essa loja;fraude_vendedor;compra|atendimento|cadastro;fraude_vendedor
R00166;C0040;padrao;P028;Cafeteira elétrica Aroma 30 xícaras;Cafeteira com jarra de vidro e desligamento automático;outros;110,60;MegaOfertas SP;vendedor;2,9;2026-03-04;2026-03-06;Bom dia. Solicitei a devolução da cafeteira e o pedido foi aprovado no sistema, porém a coleta do produto nunca foi agendada. Estou aguardando o reembolso de R$ 110,60 para concluir o processo.;devolucao_ressarcimento;problema|pedido;devolucao_ressarcimento
R00149;C0080;padrao;P026;Delineador líquido preto;Delineador de ponta fina, secagem rápida;maquiagem;30,74;Estoque Livre;vendedor;3,0;2026-03-27;2026-05-12;Fiz uma compra recentemente e o produto chegou dentro do prazo e em boas condições. Junto com o Delineador líquido preto, havia um segundo item que não estava listado no meu pedido e que, pelo que entendo, está sujeito a regras específicas sobre como pode ser comercializado e transportado, regras essas que aparentemente não foram observadas nessa ocasião. Tentei encontrar no site alguma referência sobre quais itens são permitidos ou não na plataforma, mas não localizei essa informação. Gostaria de saber como devo agir diante disso e peço que a situação fique registrada formalmente. Aguardo retorno com urgência.;artigo_proibido;garantia|urgente|problema;artigo_proibido
R00061;C0112;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;204,97;Ponto Baixo Preço;vendedor;4,6;2026-01-10;2026-02-20;Recebi o pacote dentro do prazo esperado, porém ao abrir a embalagem encontrei somente um objeto sem valor usado para simular peso, sem nenhum sinal da Escada de alumínio 5 degraus que havia comprado. Trata-se de uma prática fraudulenta do vendedor Ponto Baixo Preço, e solicito que as devidas providências sejam tomadas. Fico no aguardo.;fraude_vendedor;anuncio|atendimento|ajuda;fraude_vendedor
R00019;C0032;padrao;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;1058,17;Ponto Baixo Preço;vendedor;4,8;2026-03-21;2026-03-26;Recebi apenas um dos dois volumes do meu pedido, e justamente o volume que contém a Cadeira gamer ErgoMax está faltando, sem qualquer registro no rastreamento. O vendedor Ponto Baixo Preço afirma que ambos os volumes foram despachados juntos.;entrega;urgente|problema|reembolso;entrega
R00146;C0009;padrao;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;178,43;Central das Marcas;vendedor;3,8;2026-05-02;2026-06-25;Encomendei um patinete e ele chegou dentro do prazo, sem avarias. Ao conferir o que veio na caixa, notei que um dos itens incluídos na embalagem é daqueles que a legislação vigente exige documentação específica para que possam circular no mercado. Voltei ao anúncio para verificar se essa documentação estava indicada em algum lugar e não encontrei nenhuma referência a ela. Tentei também localizar no site algum guia com as regras sobre o que pode e o que não pode ser comercializado na plataforma, mas não achei nada do tipo. Gostaria de saber como essa situação é tratada.;artigo_proibido;produto|urgente|problema;artigo_proibido
R00119;C0099;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;182,40;Armazém 21;vendedor;5,0;2026-07-12;2026-09-10;Boa tarde. Realizei a compra de uma escada de alumínio de 5 degraus e, ao tentar registrá-la pelo aplicativo oficial da marca, o número de série informado não foi reconhecido pelo sistema. O produto recebido também apresenta algumas diferenças visuais em relação ao que estava ilustrado no anúncio. Entrei no site da plataforma para entender como proceder e localizar onde enviar as fotos que documentam a situação, mas não consegui encontrar essa opção. Diante disso, solicito o reembolso do valor pago e peço que a plataforma verifique as condições do anúncio em questão. Obrigado pela atenção.;falsificado;produto|pagamento|pedido|atendimento;falsificado
R00050;C0081;padrao;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;1009,45;Armazém 21;vendedor;4,8;2026-02-21;2026-04-06;Fiz o pedido com base nas especificações do anúncio, que indicavam compatibilidade com qualquer tensão da rede elétrica doméstica. A encomenda chegou com alguns dias de atraso em relação ao prazo informado, e a embalagem apresentava amassados visíveis. Ao tentar instalar o produto, percebi que ele aceita somente uma das duas tensões disponíveis nas residências brasileiras, o que torna impossível o uso no meu domicílio. As informações divulgadas antes da compra não correspondiam ao que foi entregue. Agradeço a atenção.;devolucao_ressarcimento;compra|atendimento;divergente_defeito
R00076;C0109;padrao;P009;Controle sem fio GamePro X;Controle bluetooth com vibração, compatível com PC e celular;game;142,95;Loja do Edu;vendedor;4,0;2026-02-17;2026-04-10;Bom dia. Recebi a encomenda do Controle sem fio GamePro X vendido pela Loja do Edu, porém a caixa veio completamente sem o produto no interior. Solicito o bloqueio do vendedor e o reembolso do valor pago. Aguardo retorno.;fraude_vendedor;compra|urgente;fraude_vendedor
R00007;C0120;premium;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;244,46;Central das Marcas;vendedor;4,1;2026-05-07;2026-05-22;Em 07/05 efetuei a compra de uma escada de alumínio de 5 degraus junto ao vendedor Central das Marcas. O prazo de entrega estipulado no momento da compra já se encerrou e o produto ainda não chegou até mim. Tentei entrar em contato com o vendedor para entender o que havia acontecido, mas não recebi nenhuma resposta. Nesse contexto, além de aguardar uma solução para a situação principal, mencionei também a intenção de solicitar o reembolso do valor do frete, já que o serviço pelo qual paguei não foi realizado.;entrega;compra|urgente|pagamento|problema;entrega
R00194;C0087;padrao;P003;Quebra-cabeça 1000 peças Paisagem Alpina;Quebra-cabeça de 1000 peças, 70 x 50 cm montado;brinquedo;79,08;Comercial Andrade;vendedor;3,0;2026-03-04;2026-04-24;Bom dia. Comprei o quebra-cabeça e a fatura do cartão apresentou dois lançamentos de R$ 79,08 referentes ao mesmo pedido, sendo que a compra foi realizada uma única vez. Fico no aguardo. A central de ajuda não responde essa dúvida.;outros;frete|ajuda|problema;outros
R00170;C0023;padrao;P024;Kit pincéis de maquiagem 12 peças;Kit com 12 pincéis e estojo de viagem;maquiagem;57,36;MegaOfertas SP;vendedor;3,3;2026-04-26;2026-05-14;A devolução do Kit pincéis de maquiagem 12 peças ao vendedor MegaOfertas foi realizada no momento da entrega devido à embalagem danificada, porém as cobranças parceladas continuam sendo debitadas normalmente.;devolucao_ressarcimento;pedido|compra;devolucao_ressarcimento
R00168;C0022;padrao;P033;Suporte veicular para celular;Suporte de painel com trava automática;outros;43,40;Comercial Andrade;vendedor;2,6;2026-06-06;2026-06-16;to tentando devolver esse suporte veicular para celular faz um tempão e o app simplesmente nao gera a etiqueta de postagem, ja tentei umas 5 vezes e nada. o produto ta aqui parado em casa sem eu conseguir enviar de volta de jeito nenhum.;devolucao_ressarcimento;urgente|reembolso|problema;devolucao_ressarcimento
R00172;C0043;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;162,11;MegaOfertas SP;vendedor;4,9;2026-01-25;2026-02-17;A escada chegou ao vendedor MegaOfertas há duas semanas, com rastreamento confirmando o recebimento por parte deles, porém os R$ 162,11 ainda não apareceram na minha conta até o momento. Registro também que a caixa chegou danificada pelo transporte. Obrigado pela atenção.;devolucao_ressarcimento;produto|atendimento|problema;devolucao_ressarcimento
R00013;C0040;padrao;P015;Box trilogia O Reino Partido;Box com os três volumes da trilogia, capa dura;livro;134,97;Central das Marcas;vendedor;4,1;2026-04-08;2026-04-13;faz 5 dias que paguei pelo box trilogia o reino partido e até agora nao recebi nada, o rastreamento continua parado no centro de distribuiçao sem nenhuma atualizaçao, alguem pode me ajudar??;entrega;compra|produto|ajuda;entrega
R00021;C0010;premium;P032;Garrafa térmica Inox 1 litro;Garrafa de aço inox, conserva por 12 horas;outros;96,60;Casa & Cia Oficial;loja_oficial;2,7;2026-05-08;2026-05-21;Realizei a compra da Garrafa térmica Inox 1 litro em 08/05 com prazo de 9 dias úteis, porém o produto nunca foi recebido. O sistema de monitoramento parou de registrar movimentações e o vendedor Casa e Cia não apresenta nenhuma nova data para resolução. Solicito ainda o reembolso do valor do frete pago, uma vez que o serviço pelo qual paguei não foi cumprido.;entrega;ajuda|anuncio|problema;entrega
R00058;C0015;padrao;P017;Guia prático de horta urbana;Guia ilustrado de cultivo em pequenos espaços, 240 páginas;livro;50,57;Vitrine Norte;vendedor;3,6;2026-02-16;2026-03-19;Recebi o Guia prático de horta urbana em condições incompatíveis com o anunciado: o item apresenta arranhões visíveis e a embalagem original estava violada, tendo sido refechada com fita adesiva. Solicito providências para resolução do caso.;divergente_defeito;cadastro|atendimento|pedido;divergente_defeito
R00030;C0072;padrao;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;741,81;Estoque Livre;vendedor;3,7;2026-04-23;2026-05-13;tô no 27º dia util esperando a cadeira gamer ergomax aqui em casa e nada. paguei frete e o prazo que me venderam era de 12 dias uteis, ja passou mais que o dobro disso e o produto continua do mesmo jeito no sistema, sem novidade nenhuma. tres vezes ja mudaro a data prevista e eu aqui sem a cadeira.;entrega;pedido|urgente|frete|produto;entrega
R00196;C0119;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;171,23;Importados do Sul;vendedor;2,6;2026-02-19;2026-04-12;Troquei de celular e agora não consigo mais acessar minha conta, pois o código de verificação não chega ao novo número. Tenho um pedido do Headset gamer HX-70 aguardando resolução por conta disso.;outros;pedido|compra|ajuda;outros
R00177;C0002;premium;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;211,35;ToyMundo Oficial;loja_oficial;4,0;2026-01-27;2026-02-22;Bom dia. O vendedor ToyMundo se recusa a aceitar o retorno do Patinete infantil dobrável, contando o prazo a partir da data da compra em vez da data de recebimento do produto. Solicito revisão urgente deste caso.;devolucao_ressarcimento;pedido|ajuda|anuncio;devolucao_ressarcimento
R00126;C0060;padrao;P023;Batom matte vermelho cereja;Batom de longa duração, acabamento matte;maquiagem;28,25;Estoque Livre;vendedor;3,9;2026-02-26;2026-04-16;Bom dia. A descrição do Batom matte vermelho cereja inclui um acessório que exige registro obrigatório para comercialização, mas o anúncio não apresenta nenhum número de registro referente a esse item. Desde já agradeço.;outros;produto|garantia|compra|pedido;artigo_proibido
R00045;C0044;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;160,22;Loja do Edu;vendedor;3,1;2026-07-21;2026-07-29;Comprei o Headset gamer HX-70 esperando receber a cor exibida nas fotos do anúncio, porém o produto entregue possui uma cor completamente distinta. Além disso, as dimensões reais do headset são significativamente menores do que as imagens sugerem. Solicito uma solução para essa situação. E a caixa veio amassada, o transporte também não ajudou. Fico no aguardo.;devolucao_ressarcimento;ajuda|pedido|urgente;divergente_defeito
R00135;C0058;padrao;P021;Paleta de sombras 18 cores Sunset;Paleta com 18 tons matte e cintilantes;maquiagem;61,07;BelezaViva Oficial;loja_oficial;4,4;2026-08-08;2026-09-02;A encomenda chegou no prazo, embalada direitinho, e a paleta estava em perfeito estado. Enquanto conferia o conteúdo, percebi que havia um item adicional junto que me deixou em dúvida sobre se aquele tipo de produto poderia circular nesta plataforma. Fui procurar no site alguma página que listasse o que é permitido ou não ser comercializado aqui, mas não encontrei essa informação em lugar nenhum.;falsificado;atendimento|urgente;artigo_proibido
R00040;C0035;padrao;P032;Garrafa térmica Inox 1 litro;Garrafa de aço inox, conserva por 12 horas;outros;96,52;Bazar da Serra;vendedor;3,3;2026-03-10;2026-04-10;A garrafa térmica chegou com especificação diferente da anunciada: o anúncio informava que o produto era bivolt, porém o item recebido opera apenas em 110V. Por conta dessa divergência nas informações, o produto está inutilizável na minha residência, o que caracteriza um erro no anúncio.;divergente_defeito;atendimento|urgente;divergente_defeito
R00185;C0017;padrao;P012;Mouse gamer Vortex 12000 dpi;Mouse com sensor óptico de 12000 dpi e 7 botões;game;126,84;Loja do Edu;vendedor;4,1;2026-03-24;2026-03-27;Realizei um pedido do Vortex esta manhã sem intenção, e preciso cancelá-lo, porém o aplicativo não exibe nenhuma opção para isso.;divergente_defeito;compra|atendimento;outros
R00127;C0030;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;197,37;Casa & Cia Oficial;loja_oficial;4,3;2026-07-19;2026-09-13;Bom dia. O vendedor Casa & Cia Oficial utiliza o anúncio da escada para atrair compradores e, na seção de perguntas e respostas do próprio anúncio, oferece abertamente um item diferente, que vai contra as políticas da plataforma. Desde já agradeço.;artigo_proibido;pedido|anuncio|compra|urgente;artigo_proibido
R00175;C0046;padrao;P030;Luminária de mesa articulada;Luminária LED com braço articulado e três tons de luz;outros;90,98;Casa & Cia Oficial;loja_oficial;4,6;2026-04-15;2026-04-26;Olá, tudo bem? Fiz a solicitação de estorno referente à compra da Luminária de mesa articulada, no valor de R$ 90,98, e a plataforma me ofereceu um cupom como alternativa. Não tenho interesse em cupom, pois o pagamento foi realizado no cartão e é no cartão que desejo receber o estorno. Li a política de devolução no site mas não entendi qual prazo vale para o meu caso.;devolucao_ressarcimento;produto|problema;devolucao_ressarcimento
R00092;C0102;padrao;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;1095,03;Bazar da Serra;vendedor;3,3;2026-08-01;2026-08-27;Entrei em contato com o fabricante da ErgoMax e o número de série do produto que recebi do vendedor Bazar da Serra não foi localizado no sistema oficial deles. Realizei a verificação duas vezes para ter certeza. O produto não está registrado pelo fabricante. Obrigado pela atenção.;falsificado;atendimento|problema|pedido;falsificado
R00048;C0010;premium;P030;Luminária de mesa articulada;Luminária LED com braço articulado e três tons de luz;outros;132,08;Armazém 21;vendedor;3,1;2026-08-12;2026-09-21;Quando o pacote finalmente chegou, alguns dias depois do prazo previsto, a caixa já anunciava o que estava por vir. amassada e recolada com fita adesiva sobre um rasgo visível. Ao abrir, a luminária apresentava arranhões espalhados pela superfície, marcas que não combinam com nenhum produto comprado como novo.;devolucao_ressarcimento;problema|pedido|compra;divergente_defeito
R00023;C0044;padrao;P018;HQ Guardiões da Aurora volume 3;História em quadrinhos, edição colorida de 96 páginas;livro;42,08;Livraria Página Dez Oficial;loja_oficial;2,8;2026-07-24;2026-08-03;faz 10 dias que o dinheiro saiu da minha conta e o HQ Guardiões da Aurora volume 3 tá parado no mesmo lugar desde o primeiro dia, sem avançar um metro sequer. a livraria página dez oficial nao dá satisfação nenhuma, o produto simplesmente ficou estacionado e eu aqui sem o item que paguei;entrega;reembolso|atendimento|pedido;entrega
R00062;C0015;padrao;P023;Batom matte vermelho cereja;Batom de longa duração, acabamento matte;maquiagem;44,36;Central das Marcas;vendedor;3,4;2026-05-19;2026-06-05;Prezados, Fiz uma compra do Batom matte vermelho cereja com o vendedor Central das Marcas, que solicitou uma transferência adicional fora da plataforma como condição para liberar a entrega do produto. Após realizar o contato, o vendedor deixou de responder às mensagens. O anúncio segue ativo e aguardo uma solução para o caso.;divergente_defeito;produto|compra|problema;fraude_vendedor
R00072;C0065;padrao;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;859,76;Estoque Livre;vendedor;3,8;2026-03-02;2026-04-02;Comprei a Cadeira gamer ErgoMax pelo vendedor Estoque Livre e, antes de receber o produto, fui informado de que precisaria fazer uma transferência adicional para que a entrega fosse liberada. Realizei o contato, mas o vendedor simplesmente parou de responder. O anúncio segue disponível normalmente na plataforma.;divergente_defeito;produto|problema;fraude_vendedor
R00071;C0005;padrao;P005;Pelúcia dinossauro Rex 40 cm;Pelúcia antialérgica com enchimento siliconado;brinquedo;84,52;Estoque Livre;vendedor;3,6;2026-01-12;2026-03-09;Realizei a compra de uma pelúcia dinossauro Rex 40 cm e o pacote chegou dentro do prazo combinado. Ao abrir a embalagem, encontrei apenas um objeto sem valor que havia sido colocado ali para simular peso, enquanto o item que eu havia comprado não estava presente. O vendedor Estoque Livre enviou esse pacote nessas condições e solicito que as devidas providências sejam tomadas.;fraude_vendedor;ajuda|atendimento|frete;fraude_vendedor
R00112;C0109;padrao;P032;Garrafa térmica Inox 1 litro;Garrafa de aço inox, conserva por 12 horas;outros;112,36;Armazém 21;vendedor;2,5;2026-08-09;2026-08-24;Olá, tudo bem? O número de série da Garrafa térmica Inox 1 litro, vendida pelo Armazém, não aparece no sistema de verificação do site do fabricante. Realizei a consulta duas vezes e o resultado foi o mesmo: o código não é reconhecido. Procurei as regras de autenticidade no site e não achei como enviar as fotos.;falsificado;pedido|urgente;falsificado
R00116;C0098;padrao;P031;Mochila executiva impermeável;Mochila para notebook de até 15,6 polegadas, com saída USB;outros;202,31;Bazar da Serra;vendedor;2,9;2026-04-22;2026-06-12;Comprei a Mochila executiva impermeável e quando precisei de suporte técnico levei o produto a uma assistência autorizada. O atendente verificou o item e informou que não era possível registrar o atendimento porque o produto não constava nos sistemas da marca. Saí da loja sem resolução e voltei para casa tentando entender o que havia acontecido. Acessei o site do fabricante em busca de algum canal para enviar fotos e documentar a situação, mas não encontrei esse caminho em lugar nenhum. O valor que paguei correspondia a um item reconhecido oficialmente, e o que tenho em mãos não é aceito nos canais que a própria marca disponibiliza, o que ficou bem diferente do que o anúncio descrevia. Não consegui avançar por conta própria e preciso de orientação sobre como resolver.;fraude_vendedor;cadastro|produto|ajuda|atendimento;falsificado
R00051;C0017;padrao;P021;Paleta de sombras 18 cores Sunset;Paleta com 18 tons matte e cintilantes;maquiagem;111,32;BelezaViva Oficial;loja_oficial;2,9;2026-06-17;2026-07-22;Comprei a paleta Sunset e o produto entregue apresenta acabamento e pigmentação visivelmente abaixo do que as fotos e a descrição do anúncio mostravam, sendo que o anúncio especificava 18 tons entre matte e cintilantes com qualidade que não vejo refletida no item que recebi. Registro ainda que a entrega atrasou uma semana além do prometido.;devolucao_ressarcimento;urgente|ajuda|compra;divergente_defeito
R00181;C0098;padrao;P016;Romance A Casa dos Ventos;Romance, 384 páginas, capa comum;livro;47,00;MegaOfertas SP;vendedor;4,8;2026-04-19;2026-06-15;Prezados, Estou tentando atualizar o endereço de entrega do meu pedido do Casa dos Ventos, que ainda não foi despachado, porém o aplicativo apresenta erro sempre que realizo a alteração. Fico no aguardo.;divergente_defeito;problema|atendimento|anuncio;outros
R00036;C0118;padrao;P011;Teclado mecânico K-500;Teclado mecânico ABNT2 com iluminação configurável;game;403,38;Comercial Andrade;vendedor;4,7;2026-05-15;2026-05-25;O teclado que recebi em 15/05 emite um ruído anormal durante o uso e desliga sozinho sem nenhuma ação da minha parte. Solicito a troca do produto. Fico no aguardo.;divergente_defeito;pedido|compra|urgente|frete;divergente_defeito
R00079;C0071;padrao;P004;Blocos de montar Cidade 350 peças;Kit de blocos plásticos compatíveis com as principais marcas;brinquedo;133,88;Central das Marcas;vendedor;2,7;2026-02-23;2026-04-21;recebi meu pedido dos blocos de montar cidade 350 peças e quando abri a caixa só tinha papelão dentro, fiquei em choque. a central das marcas me deu um golpe, paguei e não recebi nada do que comprei. alguem pode me ajudar a resolver isso??;entrega;cadastro|problema|ajuda;fraude_vendedor
R00189;C0115;padrao;P025;Máscara de cílios volume intenso;Máscara de cílios à prova d'água;maquiagem;35,44;BelezaViva Oficial;loja_oficial;2,8;2026-02-11;2026-03-24;O desconto de primeira compra que estava disponível no carrinho não foi descontado no momento do pagamento da Máscara de cílios volume intenso. Solicito que a diferença seja estornada ou compensada.;outros;urgente|frete|pedido;outros
R00132;C0073;padrao;P006;Jogo de tabuleiro Ilha do Tesouro;Jogo de estratégia para 2 a 6 jogadores, a partir de 8 anos;brinquedo;138,99;Central das Marcas;vendedor;2,9;2026-02-17;2026-02-22;Olá, tudo bem? O vendedor Central das Marcas está adicionando ao Jogo de tabuleiro Ilha do Tesouro um software ativado por chave, sendo que este site não permite a venda desse tipo de produto. Solicito que o caso seja analisado pela equipe responsável.;artigo_proibido;urgente|compra|produto;artigo_proibido
R00148;C0074;padrao;P014;Volante com pedais RaceOne;Volante de 900 graus com pedais e câmbio borboleta;game;621,02;Importados do Sul;vendedor;4,0;2026-02-26;2026-04-25;segunda vez que denuncio esse vendedor 'importados do sul', continua vendendo item proibido junto co o volante com pedais raceone mesmo depois da primeira denuncia que fiz. o anuncio voltou normalmente, absurdo isso;falsificado;problema|pedido|produto|pagamento;artigo_proibido
R00069;C0068;premium;P011;Teclado mecânico K-500;Teclado mecânico ABNT2 com iluminação configurável;game;245,80;Importados do Sul;vendedor;4,4;2026-04-25;2026-05-20;recebi a encomenda do teclado mecânico k-500 e adivinhem o que tinha dentro da caixa?? papelão!! o vendedor importados do sul me mandou uma caixa cheia de papelão no lugar do produto, que roubalhera é essa;fraude_vendedor;produto|garantia|problema;fraude_vendedor
R00179;C0028;premium;P025;Máscara de cílios volume intenso;Máscara de cílios à prova d'água;maquiagem;56,33;BelezaViva Oficial;loja_oficial;2,7;2026-03-09;2026-03-19;Adquiri a Máscara de cílios volume intenso por R$ 56,33 durante uma promoção, porém o crédito lançado em minha conta corresponde a um montante inferior ao que efetivamente paguei. Solicito a correção para o montante correto de R$ 56,33. Registro ainda que o produto chegou com a embalagem danificada pelo transporte, fato que agrava a situação. Fico no aguardo.;entrega;cadastro|urgente|compra;devolucao_ressarcimento
R00033;C0100;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;237,82;Bazar da Serra;vendedor;4,9;2026-07-15;2026-08-15;comprei a escada de alumínio 5 degraus e o produto que chegou aqui não é esse modelo, é um parecido mas não é o que tava no pedido. preciso que alguém me ajude a resolver isso Vi que existe uma tabela de garantia mas não descobri o prazo da minha categoria.;devolucao_ressarcimento;ajuda|atendimento|produto;divergente_defeito
R00075;C0012;padrao;P022;Base líquida tom 230;Base líquida de cobertura média, 30 ml;maquiagem;79,66;Vitrine Norte;vendedor;3,1;2026-07-17;2026-08-12;O vendedor Vitrine cancelou a compra da base alegando indisponibilidade do produto, contudo, no mesmo dia, o mesmo item foi relistado na plataforma a um preço superior, evidenciando que a indisponibilidade foi declarada falsamente com o intuito deliberado de forçar uma nova compra em condições mais vantajosas para o vendedor. Trata-se de uma conduta intencional e prejudicial ao consumidor, e não de um erro operacional. Solicito que o marketplace apure os fatos e tome as medidas cabíveis contra o vendedor. Fico no aguardo. O blog de vocês fala de compra segura mas não diz o que acontece com o pagamento nesses casos.;fraude_vendedor;compra|problema|ajuda;fraude_vendedor
R00180;C0114;premium;P025;Máscara de cílios volume intenso;Máscara de cílios à prova d'água;maquiagem;34,49;BelezaViva Oficial;loja_oficial;3,5;2026-04-21;2026-05-18;A entrega da Máscara de cílios volume intenso foi recusada no momento da recepção devido à caixa visivelmente danificada, e o item retornou ao vendedor BelezaViva Oficial. Apesar disso, as parcelas do produto continuam sendo cobradas normalmente no sistema.;devolucao_ressarcimento;ajuda|compra|urgente|pagamento;devolucao_ressarcimento
R00055;C0057;premium;P018;HQ Guardiões da Aurora volume 3;História em quadrinhos, edição colorida de 96 páginas;livro;29,98;Estoque Livre;vendedor;2,7;2026-04-28;2026-05-24;Comprei a HQ dos Guardiões e recebi um produto com cor distinta da exibida nas fotos do anúncio, além de dimensões físicas consideravelmente menores do que as imagens indicavam.;divergente_defeito;compra|devolucao|atendimento|urgente;divergente_defeito
R00020;C0072;padrao;P008;Console portátil RetroPlay 400 jogos;Console portátil com tela de 3 polegadas e 400 jogos embutidos;game;290,29;Vitrine Norte;vendedor;4,4;2026-06-25;2026-07-14;paguei frete pra chegar em 13 dias úteis e hoje já faz 26 dias úteis desde a compra do console portátil retroplay 400 jogos. no décimo quarto dia fui ver o rastreamento e o pacote não tinha saído do lugar, no décimo oitavo tentei contato e não obtive resposta, no vigésimo segundo o status ainda era o mesmo. agora no vigésimo sexto dia o produto simplesmente nunca chegou aqui em casa. fui procurar a política de entregas no site pra entender o prazo que vale pra minha cidade e não encontrei nenhuma informação. to registrando tudo isso aqui inclusive pra ter base caso precise pedir o reembolso do frete lá na frente, já que o combinado não foi cumprido. mas o que eu quero mesmo saber agora é onde tá o meu pedido;fraude_vendedor;problema|pagamento|pedido|urgente;entrega
R00014;C0004;padrao;P026;Delineador líquido preto;Delineador de ponta fina, secagem rápida;maquiagem;32,59;Central das Marcas;vendedor;4,0;2026-02-09;2026-02-19;A transportadora realizou três tentativas de entrega sem sequer acionar o interfone, e o pedido acabou sendo devolvido ao vendedor Central das Marcas. Estou aguardando o delineador até hoje e a situação continua sem solução.;entrega;produto|anuncio|atendimento;entrega
